                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.2424,                 3.3006,                 4.1316,                0.00378,                0.91667,                0.03236,                0.01735,                 2.9614,                 3.1183,                 4.1447,             0.00044438,             0.00044438,             0.00044438
                     35,                 3.4449,                 3.3201,                  4.129,                 0.0039,                0.91667,                0.03878,                0.02809,                 2.9623,                 3.1141,                 4.1429,             0.00045111,             0.00045111,             0.00045111
                     36,                  3.399,                 3.6357,                 4.1404,                 0.0039,                0.91667,                0.03878,                0.02809,                 2.9623,                 3.1141,                 4.1429,             0.00045745,             0.00045745,             0.00045745
                     37,                 3.1489,                 3.5455,                 4.1429,                0.00377,                0.91667,                0.03082,                0.01361,                  2.969,                 3.1104,                 4.1429,             0.00046339,             0.00046339,             0.00046339
                     38,                 3.4034,                 3.4202,                 4.1086,                0.00377,                0.91667,                0.03082,                0.01361,                  2.969,                 3.1104,                 4.1429,             0.00046894,             0.00046894,             0.00046894
                     39,                 3.6482,                 3.4207,                 4.1726,                0.00391,                0.91667,                0.03687,                0.01268,                 2.9744,                 3.1102,                 4.1447,             0.00047409,             0.00047409,             0.00047409
                     40,                 2.9723,                 3.3921,                 4.0986,                0.00391,                0.91667,                0.03687,                0.01268,                 2.9744,                 3.1102,                 4.1447,             0.00047884,             0.00047884,             0.00047884
                     41,                  3.127,                 3.4043,                 4.0813,                0.00393,                0.91667,                 0.0335,                0.01649,                 2.9798,                 3.1041,                 4.1425,              0.0004832,              0.0004832,              0.0004832
                     42,                 3.3006,                 3.5367,                 4.0804,                0.00393,                0.91667,                 0.0335,                0.01649,                 2.9798,                 3.1041,                 4.1425,             0.00048716,             0.00048716,             0.00048716
                     43,                 3.1686,                 3.2395,                 4.0398,                0.00387,                0.91667,                0.03028,                 0.0131,                 2.9831,                  3.103,                 4.1401,             0.00049073,             0.00049073,             0.00049073
                     44,                 3.1928,                 3.5221,                 4.0594,                0.00387,                0.91667,                0.03028,                 0.0131,                 2.9831,                  3.103,                 4.1401,              0.0004939,              0.0004939,              0.0004939
                     45,                 3.1691,                 3.5296,                 4.0576,                 0.0039,                0.91667,                0.06401,                0.05425,                   2.98,                 3.1029,                 4.1369,             0.00049667,             0.00049667,             0.00049667
                     46,                 3.0195,                 3.2551,                 4.0515,                 0.0039,                0.91667,                0.06401,                0.05425,                   2.98,                 3.1029,                 4.1369,             0.00049905,             0.00049905,             0.00049905
                     47,                 3.6523,                 3.5969,                 4.1229,                0.00383,                0.91667,                0.03535,                0.01383,                 2.9586,                 3.0977,                 4.1255,             0.00050103,             0.00050103,             0.00050103
                     48,                   3.23,                 3.5913,                 4.0715,                0.00383,                0.91667,                0.03535,                0.01383,                 2.9586,                 3.0977,                 4.1255,             0.00050262,             0.00050262,             0.00050262
                     49,                 3.4468,                 3.4881,                 4.0437,                0.00386,                0.91667,                0.04768,                0.01835,                 2.9259,                 3.0919,                 4.1102,             0.00050381,             0.00050381,             0.00050381
                     50,                  3.092,                 3.3111,                 3.9794,                0.00386,                0.91667,                0.04768,                0.01835,                 2.9259,                 3.0919,                 4.1102,              0.0005046,              0.0005046,              0.0005046
                     51,                 3.2925,                 3.3083,                 4.0045,                0.00382,                0.91667,                0.03774,                 0.0176,                 2.8965,                  3.102,                 4.0933,               0.000505,               0.000505,               0.000505
                     52,                  2.914,                 3.2259,                 3.9495,                0.00382,                0.91667,                0.03774,                 0.0176,                 2.8965,                  3.102,                 4.0933,               0.000505,               0.000505,               0.000505
                     53,                 3.2328,                 3.3125,                 3.9818,                0.00382,                0.91667,                0.03774,                 0.0176,                 2.8965,                  3.102,                 4.0933,             0.00050461,             0.00050461,             0.00050461
                     54,                 3.3349,                 3.5561,                 3.9949,                0.00378,                0.91667,                0.16334,                0.04443,                  2.882,                 3.1242,                 4.0819,             0.00050382,             0.00050382,             0.00050382
                     55,                 3.1514,                 3.5487,                 4.0278,                0.00378,                0.91667,                0.16334,                0.04443,                  2.882,                 3.1242,                 4.0819,             0.00050263,             0.00050263,             0.00050263
